Names,profession,job_length,state,homeownership,annual_income,monthly_wage,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,total_payment,ten_of monthly,spent_strategy,issue_date,payoff_date
Evelyn Monroe,technical support specialist,2,OH,RENT,"31,000","2,583",5.27,16600,7007.00,home_improvement,22000,36,9.43,704,28224,70,2520,3/1/2018,3/1/2021
James Cole,retail sales associate,3,NY,RENT,"40,000","3,333",5.27,19800,8067.00,credit_card,5000,36,11.98,166,6797,17,612,3/1/2018,3/1/2021
Donna Travis,director,10,NJ,OWN,"600,000","50,000",5.26,746363,201624.00,home_improvement,15000,36,5.32,452,17394,45,1620,2/1/2018,2/1/2021
Cameron Carter,chemist,1,CA,OWN,"59,000","4,917",5.26,81024,67407.00,credit_card,9500,36,5.32,286,11016,29,1044,2/1/2018,2/1/2021
Lori Smith,survey designer,5,VA,RENT,"41,600","3,467",5.25,12800,7178.00,credit_card,7000,36,5.31,211,8115,21,756,2/1/2018,2/1/2021
Donald Cox,office manager,10,CT,RENT,"70,000","5,833",5.25,72500,22223.00,debt_consolidation,22000,60,11.98,489,35178,49,2940,3/1/2018,3/1/2023
Kiara Hunter,notary,8,VA,RENT,"76,800","6,400",5.25,16432,7977.00,debt_consolidation,8000,36,18.45,291,12428,29,1044,3/1/2018,3/1/2021
Robert Kim Jr.,i&c specialist ,8,MS,OWN,"95,000","7,917",5.24,37500,17541.00,credit_card,15600,36,6.72,480,18745,48,1728,1/1/2018,1/1/2021
Ryan Miller,senior loan officer,3,MI,MORTGAGE,"80,000","6,667",5.24,160084,8178.00,debt_consolidation,28000,60,16.02,681,50428,68,4080,1/1/2018,1/1/2023
Donald Phillips,program manager,10,MD,MORTGAGE,"160,000","13,333",5.23,580642,23163.00,debt_consolidation,30000,60,7.35,599,41025,60,3600,1/1/2018,1/1/2023
Vanessa Contreras,real estate broker,10,WA,RENT,"289,139","24,095",5.23,57800,20505.00,debt_consolidation,8000,36,11.99,266,10878,27,972,2/1/2018,2/1/2021
Stephen Rich,rdaef ,2,CA,MORTGAGE,"39,000","3,250",5.23,168337,3907.00,debt_consolidation,5000,36,11.99,166,6799,17,612,2/1/2018,2/1/2021
Johnathan Chen,manager,5,CO,MORTGAGE,"50,000","4,167",5.23,289520,5990.00,debt_consolidation,15000,36,6.71,461,18020,46,1656,3/1/2018,3/1/2021
Alexis Lyons,director,1,FL,MORTGAGE,"352,250","29,354",5.22,58200,49447.00,house,40000,60,15.05,953,70100,95,5700,1/1/2018,1/1/2023
Jessica Chavez,des support operations,3,GA,MORTGAGE,"40,000","3,333",5.22,210442,2129.00,house,22725,60,11.98,505,36337,51,3060,3/1/2018,3/1/2023
Gloria Goodwin,realtor,10,CA,MORTGAGE,"180,000","15,000",5.21,441900,22621.00,debt_consolidation,35000,36,10.41,"1,136",45931,114,4104,2/1/2018,2/1/2021
Kimberly Bennett,operations coordinator ,0,WI,RENT,"32,000","2,667",5.21,75470,52541.00,other,3400,36,9.92,110,4412,11,396,3/1/2018,3/1/2021
Victor Patterson,application specialist ii,10,KY,MORTGAGE,"65,000","5,417",5.21,239800,44708.00,medical,30000,36,6.08,914,35472,91,3276,1/1/2018,1/1/2021
Taylor Smith,americorp member,0,NY,RENT,"12,000","1,000",5.2,13931,9664.00,credit_card,10000,36,13.59,340,14077,34,1224,1/1/2018,1/1/2021
Karen Cunningham,registered nurse,10,NC,MORTGAGE,"68,000","5,667",5.19,281991,11122.00,other,9000,36,6.07,274,10639,27,972,3/1/2018,3/1/2021
Amy Bird,teacher,5,FL,RENT,"43,000","3,583",5.19,69502,58272.00,other,23200,60,12.62,523,37839,52,3120,2/1/2018,2/1/2023
Derrick Smith,sales manager,10,NC,MORTGAGE,"115,000","9,583",5.19,305989,15636.00,debt_consolidation,20000,60,13.58,461,33580,46,2760,2/1/2018,2/1/2023
Brent Mcdonald,general manager,10,CA,MORTGAGE,"349,000","29,083",5.19,682431,28368.00,debt_consolidation,16000,36,19.03,587,25134,59,2124,2/1/2018,2/1/2021
Nancy Stout,service techician,10,CA,MORTGAGE,"93,000","7,750",5.17,387140,15083.00,debt_consolidation,20000,36,10.42,649,26252,65,2340,2/1/2018,2/1/2021
Jasmine Smith,mechanic,10,NY,MORTGAGE,"147,000","12,250",5.16,386381,23551.00,debt_consolidation,30000,60,16.01,730,54015,73,4380,3/1/2018,3/1/2023
Audrey Smith,presidnet,10,CA,MORTGAGE,"245,000","20,417",5.16,69544,45840.00,debt_consolidation,40000,36,9.43,"1,280",51316,128,4608,3/1/2018,3/1/2021
Robert Ford,owner,10,OH,RENT,"50,000","4,167",5.16,17000,6489.00,car,13000,36,18.06,470,20043,47,1692,1/1/2018,1/1/2021
Kristina Sullivan,phlebotomist,10,MA,OWN,"120,000","10,000",5.15,52500,18938.00,debt_consolidation,24775,60,9.43,519,36456,52,3120,3/1/2018,3/1/2023
David Harris,senior database administrator,2,MO,MORTGAGE,"120,000","10,000",5.15,77000,13156.00,debt_consolidation,18000,36,6.71,553,21623,55,1980,3/1/2018,3/1/2021
Emma Bishop,post doctoral associate,0,MA,RENT,"48,000","4,000",5.14,54800,6992.00,debt_consolidation,30000,36,7.97,940,37173,94,3384,2/1/2018,2/1/2021
Olivia Garza,sales engineering manager,10,IL,RENT,"225,000","18,750",5.13,169212,58112.00,debt_consolidation,8000,36,5.32,241,9277,24,864,1/1/2018,1/1/2021
Johnny Ferguson,manager,10,NV,OWN,"280,000","23,333",5.11,56581,20955.00,home_improvement,14000,36,13.58,476,19704,48,1728,2/1/2018,2/1/2021
James Johnson,driver,10,WV,RENT,"27,000","2,250",5.11,5300,3501.00,house,20000,60,21.45,546,41450,55,3300,2/1/2018,2/1/2023
Christopher Stevens,driver,0,IL,RENT,"29,120","2,427",5.11,14500,2850.00,other,6000,36,6.71,184,7208,18,648,3/1/2018,3/1/2021
Zachary Cochran,massage therapoist,10,NV,MORTGAGE,"60,000","5,000",5.1,22838,10286.00,debt_consolidation,1200,36,15.04,42,1741,4,144,3/1/2018,3/1/2021
Jodi Banks,rv consultant specialist,5,TX,MORTGAGE,"65,000","5,417",5.1,152343,11227.00,major_purchase,4000,36,5.32,120,4638,12,432,2/1/2018,2/1/2021
Tracy Moore,private health aid,2,NJ,RENT,"44,200","3,683",5.1,20400,4428.00,credit_card,4000,36,5.32,120,4638,12,432,2/1/2018,2/1/2021
William Summers,brake line operator ,10,MI,OWN,"50,000","4,167",5.09,116823,9446.00,debt_consolidation,13200,60,10.42,283,20077,28,1680,1/1/2018,1/1/2023
Justin Taylor,lineman/field technician,10,NY,MORTGAGE,"130,000","10,833",5.08,533376,19538.00,debt_consolidation,18000,60,9.92,382,26928,38,2280,3/1/2018,3/1/2023
Kristen Armstrong,key accounts manager,4,FL,RENT,"135,000","11,250",5.07,41000,14408.00,credit_card,15000,60,9.92,318,22440,32,1920,3/1/2018,3/1/2023
Jordan Jones,operations manager,4,VA,RENT,"27,000","2,250",5.07,31300,3900.00,debt_consolidation,4000,36,11.99,133,5439,13,468,2/1/2018,2/1/2021
Kevin Velazquez,gate inspector ,1,WA,RENT,"36,000","3,000",5.07,13500,4463.00,credit_card,30000,36,19.03,"1,100",47127,110,3960,2/1/2018,2/1/2021
Tara Miller,"director, it support operations",9,OK,OWN,"180,000","15,000",5.06,237912,15001.00,debt_consolidation,35000,36,6.08,"1,066",41384,107,3852,1/1/2018,1/1/2021
Albert Hopkins,system director,7,NY,OWN,"90,000","7,500",5.06,17420,11150.00,credit_card,35000,36,12.62,"1,173",48251,117,4212,2/1/2018,2/1/2021
Mary Rivas,warehouse office clerk,10,HI,RENT,"40,000","3,333",5.04,28800,4321.00,debt_consolidation,5000,36,12.61,168,6892,17,612,2/1/2018,2/1/2021
Jeffrey Mullen,manager,3,CA,RENT,"75,000","6,250",5.04,95500,6084.00,car,3500,36,5.31,105,4058,11,396,3/1/2018,3/1/2021
Elizabeth Wallace,driller,3,MT,MORTGAGE,"50,000","4,167",5.04,6800,3946.00,debt_consolidation,10000,60,19.03,260,19515,26,1560,2/1/2018,2/1/2023
Mckenzie Sanchez,manager ,2,OH,RENT,"50,000","4,167",5.04,8600,7176.00,debt_consolidation,12800,36,9.43,410,16421,41,1476,3/1/2018,3/1/2021
Maria Taylor,adjunct instructor,7,CA,MORTGAGE,"72,000","6,000",5.03,126800,7767.00,home_improvement,4000,36,13.59,136,5631,14,504,2/1/2018,2/1/2021
Renee Reed,teachers aide,10,NY,RENT,"48,000","4,000",5.03,4900,1797.00,other,3000,36,12.62,101,4136,10,360,1/1/2018,1/1/2021
Jacqueline Ross,designer,2,FL,RENT,"69,200","5,767",5.03,17700,5276.00,medical,15000,36,9.43,480,19244,48,1728,3/1/2018,3/1/2021
Elizabeth Powell,card services supervisor,10,VA,RENT,"55,000","4,583",5.02,18700,6339.00,debt_consolidation,15000,36,9.43,480,19244,48,1728,3/1/2018,3/1/2021
Amy Russell,telemarketer,1,KS,RENT,"50,000","4,167",5.02,35000,15637.00,credit_card,8000,36,10.91,262,10618,26,936,1/1/2018,1/1/2021
Tiffany Davila,,,CA,OWN,"65,244","5,437",5.01,71600,7784.00,debt_consolidation,13700,36,5.32,413,15887,41,1476,1/1/2018,1/1/2021
Ricky Simmons,telecommunications technician,1,NJ,RENT,"90,000","7,500",5.01,10952,9240.00,debt_consolidation,20000,36,13.58,679,28148,68,2448,3/1/2018,3/1/2021
Amy Thomas,aasp,10,MO,MORTGAGE,"75,000","6,250",5.01,21652,7825.00,debt_consolidation,13500,60,17.47,339,25292,34,2040,3/1/2018,3/1/2023
Anthony Watkins,custodian 2,5,OR,MORTGAGE,"58,000","4,833",5.01,170502,3517.00,other,2000,36,6.07,61,2364,6,216,3/1/2018,3/1/2021
Christopher Caldwell,teacher,5,CA,RENT,"30,000","2,500",5,36000,7718.00,debt_consolidation,7000,36,7.35,217,8544,22,792,2/1/2018,2/1/2021
Maria Beck,,10,IL,RENT,"55,000","4,583",5,60700,4818.00,other,14300,60,13.58,330,24010,33,1980,2/1/2018,2/1/2023
Robert Harrison,owner,10,FL,MORTGAGE,"45,000","3,750",4.99,94526,151149.00,debt_consolidation,20000,60,14.08,466,34080,47,2820,2/1/2018,2/1/2023
Bobby Hunter,insurance agent,2,VA,RENT,"45,000","3,750",4.99,15000,11325.00,credit_card,6400,36,13.59,217,9009,22,792,2/1/2018,2/1/2021
Sharon Kane,software engineer,6,VA,MORTGAGE,"76,000","6,333",4.99,300580,3850.00,house,40000,60,9.44,839,58880,84,5040,1/1/2018,1/1/2023
Madeline Fuller,server,3,NY,RENT,"50,000","4,167",4.99,37695,5988.00,small_business,20000,36,12.61,670,27566,67,2412,3/1/2018,3/1/2021
Brenda Jones,automation engineering manager,10,SC,MORTGAGE,"175,000","14,583",4.98,471843,19987.00,home_improvement,10000,36,6.72,308,12016,31,1116,2/1/2018,2/1/2021
Ms. Jordan Mason,,,CA,MORTGAGE,"143,559","11,963",4.98,700855,19715.00,debt_consolidation,25500,36,10.9,834,33839,83,2988,3/1/2018,3/1/2021
Linda Walker,penetration tester,2,VA,RENT,"163,000","13,583",4.98,129213,24645.00,house,30000,60,9.43,629,44145,63,3780,3/1/2018,3/1/2023
Juan Henderson,sales,7,UT,RENT,"33,000","2,750",4.98,51511,4663.00,home_improvement,10000,36,6.07,305,11821,30,1080,2/1/2018,2/1/2021
Jaclyn Bright,charge nurse,4,OH,RENT,"41,000","3,417",4.98,12800,10665.00,major_purchase,15000,60,12.61,338,24458,34,2040,2/1/2018,2/1/2023
Kelly King,director,10,CA,RENT,"125,000","10,417",4.96,16300,12962.00,debt_consolidation,13800,60,17.09,344,25592,34,2040,2/1/2018,2/1/2023
Sarah Anderson,,,TN,OWN,"30,000","2,500",4.96,148200,6112.00,house,5000,36,6.71,154,6007,15,540,3/1/2018,3/1/2021
Jason Griffin,fragrance specialist ,1,NY,RENT,"47,000","3,917",4.96,8800,2812.00,debt_consolidation,5000,36,9.92,161,6488,16,576,3/1/2018,3/1/2021
Jessica Anderson,package handler ,1,IN,RENT,"30,000","2,500",4.96,38600,4220.00,debt_consolidation,7200,36,20,268,11520,27,972,2/1/2018,2/1/2021
Bailey Tanner,manager,8,GA,MORTGAGE,"63,024","5,252",4.95,178300,10533.00,home_improvement,10000,36,7.97,313,12391,31,1116,2/1/2018,2/1/2021
Andrew Boyle,category gaming manager,10,MA,RENT,"150,000","12,500",4.95,152164,94482.00,debt_consolidation,17000,60,21.85,468,35573,47,2820,2/1/2018,2/1/2023
Becky Wilson,mailhandler ,2,DC,RENT,"79,000","6,583",4.95,27200,6086.00,debt_consolidation,10000,36,9.93,322,12979,32,1152,1/1/2018,1/1/2021
Joel Wilson,rn,10,GA,MORTGAGE,"60,000","5,000",4.94,420193,5003.00,home_improvement,15000,60,9.44,315,22080,31,1860,2/1/2018,2/1/2023
Tabitha Dyer,guidance counselor,10,NY,OWN,"100,000","8,333",4.94,73579,17273.00,home_improvement,12000,36,7.34,372,14642,37,1332,3/1/2018,3/1/2021
Alicia Shields,clinical laboratory scientist,5,CA,OWN,"130,000","10,833",4.94,514902,15548.00,debt_consolidation,40000,60,12.61,902,65220,90,5400,2/1/2018,2/1/2023
Antonio Oconnor,supervisor,10,NY,MORTGAGE,"230,000","19,167",4.93,184317,19662.00,home_improvement,40000,36,5.32,"1,205",46384,120,4320,2/1/2018,2/1/2021
Austin Carter,engineer,8,NC,RENT,"120,000","10,000",4.93,101562,64389.00,small_business,7000,36,10.42,227,9188,23,828,2/1/2018,2/1/2021
Brandon Gomez,quality control inspector ,10,TX,OWN,"90,000","7,500",4.91,375698,19645.00,car,5000,36,7.34,155,6101,16,576,3/1/2018,3/1/2021
Terri Gaines,front end loader,0,FL,MORTGAGE,"32,000","2,667",4.91,10100,3264.00,credit_card,4000,36,9.44,128,5133,13,468,1/1/2018,1/1/2021
Aaron Greer,cnc machinist,0,PA,MORTGAGE,"33,000","2,750",4.91,110300,3105.00,credit_card,6000,36,10.41,195,7874,19,684,2/1/2018,2/1/2021
Scott Rios,assistant vice president,4,IL,MORTGAGE,"300,000","25,000",4.9,316133,55332.00,home_improvement,40000,60,12.62,902,65240,90,5400,1/1/2018,1/1/2023
Ebony White,territory manager,4,CA,RENT,"84,000","7,000",4.9,13800,11072.00,debt_consolidation,12000,36,10.41,390,15748,39,1404,3/1/2018,3/1/2021
Barry Compton,vice president,1,VA,RENT,"150,000","12,500",4.9,20500,20388.00,debt_consolidation,35000,36,17.09,"1,249",52945,125,4500,2/1/2018,2/1/2021
Erin Hill,specialist: hope operations,2,CA,MORTGAGE,"120,000","10,000",4.9,36459,42638.00,credit_card,20000,36,9.93,645,25958,64,2304,1/1/2018,1/1/2021
Bethany Brown,cable/telephone technitian,2,FL,MORTGAGE,"75,000","6,250",4.88,181756,7443.00,debt_consolidation,4000,36,9.92,129,5190,13,468,3/1/2018,3/1/2021
Christian Clayton,transportation operator,2,NY,RENT,"35,000","2,917",4.87,14700,7043.00,other,5000,36,10.42,162,6563,16,576,1/1/2018,1/1/2021
Brandi Burns,physical therapist assistant ,2,NV,MORTGAGE,"50,000","4,167",4.87,284500,3411.00,debt_consolidation,1200,36,9.93,39,1557,4,144,1/1/2018,1/1/2021
Ronald Houston,sr business control specialist ,10,RI,RENT,"65,000","5,417",4.87,45000,8765.00,credit_card,7000,36,5.31,211,8115,21,756,3/1/2018,3/1/2021
Brandon Collins,installer,1,MI,RENT,"36,000","3,000",4.87,6250,1566.00,small_business,7000,36,20,260,11200,26,936,2/1/2018,2/1/2021
Heather Jennings,analyst,6,MD,MORTGAGE,"65,000","5,417",4.87,402717,24771.00,debt_consolidation,15000,36,9.44,480,19248,48,1728,1/1/2018,1/1/2021
Barbara Delacruz,office manager,10,CO,RENT,"59,000","4,917",4.86,25100,8322.00,debt_consolidation,20000,60,13.59,461,33590,46,2760,2/1/2018,2/1/2023
Mr. Michael Miles,chaplain/bereavement,6,CA,MORTGAGE,"78,000","6,500",4.86,586203,17050.00,debt_consolidation,9000,36,7.96,282,11149,28,1008,3/1/2018,3/1/2021
Maria Scott,manager,3,MA,MORTGAGE,"65,000","5,417",4.86,246834,23257.00,debt_consolidation,9100,36,5.32,274,10552,27,972,3/1/2018,3/1/2021
Joshua Stephens,owner/office manager,5,IN,OWN,"45,000","3,750",4.85,121323,7079.00,debt_consolidation,9000,36,15.04,312,13061,31,1116,2/1/2018,2/1/2021
Sandra Thornton,computer tec,0,FL,MORTGAGE,"45,000","3,750",4.85,57497,20849.00,home_improvement,20000,60,15.05,476,35050,48,2880,2/1/2018,2/1/2023
Stephen Howard,,,FL,MORTGAGE,"14,364","1,197",4.85,89450,433.00,major_purchase,5150,36,7.96,161,6380,16,576,3/1/2018,3/1/2021
Charlene Hardy,master system tech,2,TX,RENT,"170,000","14,167",4.85,36583,22721.00,credit_card,9000,36,9.43,288,11546,29,1044,3/1/2018,3/1/2021
Dana Herrera,appraiser,10,NC,MORTGAGE,"35,000","2,917",4.84,20500,5223.00,car,6000,36,10.9,196,7962,20,720,3/1/2018,3/1/2021
Jacob Lewis,senior teller ,3,IN,MORTGAGE,"100,000","8,333",4.84,232094,16531.00,credit_card,12000,36,6.07,365,14185,37,1332,2/1/2018,2/1/2021
Kevin Hill,software engineer ,6,MO,OWN,"82,000","6,833",4.83,176418,12144.00,debt_consolidation,9000,36,6.08,274,10642,27,972,1/1/2018,1/1/2021
Daniel Parker,foreman ,4,MO,MORTGAGE,"43,260","3,605",4.83,166100,5662.00,credit_card,10000,36,6.08,305,11824,30,1080,2/1/2018,2/1/2021
Jacqueline Davis,senior inspector,5,NC,OWN,"50,000","4,167",4.81,91500,7709.00,debt_consolidation,11200,60,14.08,261,19085,26,1560,1/1/2018,1/1/2023
Latasha Foster,project engineer,10,VA,MORTGAGE,"120,000","10,000",4.8,27656,19418.00,home_improvement,32000,60,14.08,746,54528,75,4500,1/1/2018,1/1/2023
Jacob Garcia,bodyman,5,TN,OWN,"65,000","5,417",4.8,69210,7656.00,other,7000,36,6.71,215,8409,22,792,3/1/2018,3/1/2021
Gabriella Miller,construction ,0,CA,RENT,"30,000","2,500",4.8,18700,10892.00,debt_consolidation,5000,36,16.01,176,7402,18,648,2/1/2018,2/1/2021
Kevin Aguirre,at3,3,CA,RENT,"46,556","3,880",4.8,10400,6110.00,debt_consolidation,10000,36,12.61,335,13783,34,1224,3/1/2018,3/1/2021
Troy Garner,developmental service worker,10,CT,OWN,"90,000","7,500",4.79,40444,19724.00,credit_card,4500,36,9.93,145,5841,15,540,1/1/2018,1/1/2021
David Perez,server,10,NV,RENT,"90,000","7,500",4.77,25700,13088.00,debt_consolidation,8400,36,13.59,285,11825,29,1044,1/1/2018,1/1/2021
Vicki Bailey,atc ,10,NH,RENT,"170,000","14,167",4.77,70375,44157.00,major_purchase,40000,60,11.98,889,63960,89,5340,3/1/2018,3/1/2023
Todd Berry,software engineer,10,CA,MORTGAGE,"120,000","10,000",4.76,331900,2863.00,credit_card,25000,36,5.32,753,28990,75,2700,1/1/2018,1/1/2021
Matthew Edwards,asst terminal manager,0,CT,MORTGAGE,"83,000","6,917",4.75,473367,12047.00,debt_consolidation,25000,60,7.34,499,34175,50,3000,3/1/2018,3/1/2023
Brenda Gomez,general manager,3,TX,RENT,"70,000","5,833",4.75,19553,13522.00,credit_card,16000,60,14.08,373,27264,37,2220,1/1/2018,1/1/2023
Tina Mendez,senior salesforce developer/architect,2,CT,RENT,"185,000","15,417",4.75,298154,24491.00,debt_consolidation,35000,60,9.92,742,52360,74,4440,3/1/2018,3/1/2023
Mandy Walker,estimator,1,TX,RENT,"78,500","6,542",4.75,46750,16712.00,major_purchase,7500,36,15.05,260,10886,26,936,2/1/2018,2/1/2021
Sarah Wells,doorman ,10,NY,RENT,"60,000","5,000",4.74,13476,9255.00,debt_consolidation,25000,60,19.03,649,48788,65,3900,1/1/2018,1/1/2023
Timothy Carroll,assembly technician ,5,PA,MORTGAGE,"70,000","5,833",4.73,172310,8232.00,other,2500,36,6.72,77,3004,8,288,1/1/2018,1/1/2021
Andrea Kemp,music teacher,2,FL,OWN,"18,000","1,500",4.73,7300,1468.00,credit_card,1600,36,15.04,56,2322,6,216,2/1/2018,2/1/2021
Sarah Boyer,insurance agent,2,AZ,RENT,"29,000","2,417",4.72,4400,2979.00,credit_card,10000,60,18.45,256,19225,26,1560,3/1/2018,3/1/2023
Pamela Miller,supervisor call center,0,CA,RENT,"28,000","2,333",4.71,10400,3328.00,debt_consolidation,21000,60,26.77,638,49109,64,3840,3/1/2018,3/1/2023
Angela Jones,casualty rep adjuster,5,WI,RENT,"67,500","5,625",4.71,25900,9344.00,credit_card,14000,60,10.41,300,21287,30,1800,3/1/2018,3/1/2023
Heather Richardson,reputation management program manager,4,CA,RENT,"54,000","4,500",4.71,25200,8165.00,major_purchase,20000,60,10.9,434,30900,43,2580,3/1/2018,3/1/2023
Benjamin Rogers,welder ,0,PA,RENT,"42,000","3,500",4.71,18163,12678.00,car,16000,60,13.59,369,26872,37,2220,1/1/2018,1/1/2023
Jesus Cochran,operations manager,4,GA,MORTGAGE,"111,000","9,250",4.7,158522,13571.00,home_improvement,4850,36,7.97,152,6010,15,540,2/1/2018,2/1/2021
Nancy Boone,owner,10,SC,OWN,"50,000","4,167",4.7,30400,10381.00,medical,15000,36,6.72,461,18024,46,1656,2/1/2018,2/1/2021
Timothy Villa,mro purchaser,4,IL,MORTGAGE,"33,000","2,750",4.69,13600,1804.00,other,10000,36,7.34,310,12202,31,1116,3/1/2018,3/1/2021
Kelly Warner,,,AR,RENT,"24,000","2,000",4.68,18800,1619.00,other,1500,36,10.91,49,1991,5,180,1/1/2018,1/1/2021
Nicholas Elliott,paint dept lead,10,FL,MORTGAGE,"78,133","6,511",4.68,119700,10545.00,debt_consolidation,30000,36,10.41,974,39369,97,3492,2/1/2018,2/1/2021
Karen Brooks,farm manager,3,OR,MORTGAGE,"80,000","6,667",4.68,394523,5002.00,major_purchase,10000,36,7.97,313,12391,31,1116,2/1/2018,2/1/2021
Matthew Maxwell,,,IN,OWN,"36,500","3,042",4.67,19200,3522.00,debt_consolidation,3500,36,9.92,113,4542,11,396,3/1/2018,3/1/2021
Alisha Friedman,director of sales,7,WA,RENT,"225,000","18,750",4.67,64450,32166.00,home_improvement,35000,60,17.47,879,65573,88,5280,3/1/2018,3/1/2023
Christopher Brown,clinical tech,3,MS,RENT,"55,000","4,583",4.67,239043,281196.00,credit_card,16000,60,10.91,347,24728,35,2100,1/1/2018,1/1/2023
Joseph Rodriguez,emergency truck driver,5,IL,MORTGAGE,"200,000","16,667",4.66,620222,10393.00,home_improvement,40000,36,5.31,"1,204",46372,120,4320,3/1/2018,3/1/2021
Dr. Marissa Allen DDS,owner,9,FL,OWN,"150,000","12,500",4.66,18523,11676.00,debt_consolidation,12000,36,10.42,390,15751,39,1404,1/1/2018,1/1/2021
Hunter Wilkinson,owner,1,AZ,MORTGAGE,"80,000","6,667",4.65,189933,13745.00,credit_card,4000,36,5.31,120,4637,12,432,3/1/2018,3/1/2021
Mitchell Garcia,it specialist,10,GA,MORTGAGE,"84,000","7,000",4.64,219868,10575.00,debt_consolidation,10500,36,7.97,329,13011,33,1188,1/1/2018,1/1/2021
Brenda Phillips,client relations manager,1,KS,RENT,"45,000","3,750",4.64,102131,97092.00,credit_card,10000,60,13.58,231,16790,23,1380,2/1/2018,2/1/2023
Christina Stephens,consultant,2,CO,RENT,"180,000","15,000",4.63,139807,50652.00,debt_consolidation,35000,60,9.92,742,52360,74,4440,3/1/2018,3/1/2023
Kristopher Ochoa,control room operator ,10,TX,RENT,"125,000","10,417",4.63,28500,17146.00,credit_card,27000,60,23.88,775,59238,77,4620,2/1/2018,2/1/2023
Jessica Garcia,sales manager,1,CA,RENT,"48,000","4,000",4.58,21641,12248.00,credit_card,6000,36,6.71,184,7208,18,648,3/1/2018,3/1/2021
Nathaniel Rubio,accounts receivable coordinator,4,FL,MORTGAGE,"275,000","22,917",4.57,88012,51415.00,credit_card,12000,36,10.91,392,15928,39,1404,1/1/2018,1/1/2021
Charles Schneider,healthcare coordinator,4,FL,MORTGAGE,"52,000","4,333",4.57,129317,5750.00,medical,28000,60,10.9,607,43260,61,3660,3/1/2018,3/1/2023
Julie Taylor,eeg technologist,3,MA,MORTGAGE,"240,000","20,000",4.57,613296,177400.00,debt_consolidation,15000,60,13.59,346,25193,35,2100,1/1/2018,1/1/2023
Olivia Schwartz,commodity broker,0,IL,MORTGAGE,"100,000","8,333",4.57,248400,8870.00,major_purchase,5000,36,10.9,163,6635,16,576,3/1/2018,3/1/2021
Kayla Moran,loan consultant,2,CO,RENT,"195,000","16,250",4.57,47772,45325.00,debt_consolidation,32000,60,12.62,722,52192,72,4320,2/1/2018,2/1/2023
David Stokes,teacher,10,MD,MORTGAGE,"245,000","20,417",4.56,632864,32455.00,house,7200,36,5.31,217,8347,22,792,2/1/2018,2/1/2021
Jonathan Clark,case manager,9,IN,MORTGAGE,"54,000","4,500",4.56,115000,15102.00,home_improvement,6000,36,5.31,181,6956,18,648,3/1/2018,3/1/2021
Mary Mcdaniel,,,CA,RENT,"13,164","1,097",4.56,17600,157.00,debt_consolidation,6500,36,7.97,204,8054,20,720,1/1/2018,1/1/2021
Charles Elliott,foreman,7,FL,MORTGAGE,"50,000","4,167",4.56,251690,2023.00,debt_consolidation,35000,60,20,927,70000,93,5580,2/1/2018,2/1/2023
Philip Richardson,,,NY,RENT,"108,000","9,000",4.56,56900,18333.00,credit_card,10000,36,10.42,325,13126,32,1152,1/1/2018,1/1/2021
Carrie Brown,driver,0,TX,MORTGAGE,"185,000","15,417",4.56,191930,15356.00,credit_card,10000,36,10.91,327,13273,33,1188,3/1/2018,3/1/2021
Rodney Martin,marketing coordinator,0,NY,RENT,"55,000","4,583",4.56,51605,34630.00,credit_card,1375,36,7.97,43,1704,4,144,1/1/2018,1/1/2021
Lori Johnson,,,CA,MORTGAGE,"85,175","7,098",4.55,419340,12786.00,debt_consolidation,24000,36,19.03,880,37702,88,3168,2/1/2018,2/1/2021
Howard Baker DVM,manager,10,OK,RENT,"90,000","7,500",4.55,43461,20908.00,debt_consolidation,5000,36,21.45,190,8218,19,684,2/1/2018,2/1/2021
Emily Davis,,8,CA,OWN,"100,000","8,333",4.55,258500,41835.00,debt_consolidation,40000,36,7.96,"1,253",49552,125,4500,3/1/2018,3/1/2021
Matthew Wilson,supervisor,4,NC,RENT,"39,600","3,300",4.55,4000,3969.00,major_purchase,4800,36,14.07,164,6826,16,576,3/1/2018,3/1/2021
Caleb Anderson,manager,1,CA,RENT,"47,600","3,967",4.55,41200,8191.00,debt_consolidation,7500,36,6.71,231,9010,23,828,3/1/2018,3/1/2021
Joshua Green,owner,0,CA,MORTGAGE,"100,000","8,333",4.54,260122,11249.00,small_business,40000,36,9.44,"1,280",51328,128,4608,1/1/2018,1/1/2021
Laura Ellis,,,WA,OWN,"15,380","1,282",4.53,2000,1961.00,medical,2100,36,15.04,73,3048,7,252,3/1/2018,3/1/2021
Steven Cardenas,supervisor,10,NM,MORTGAGE,"72,000","6,000",4.53,332152,8175.00,debt_consolidation,15000,60,15.04,357,26280,36,2160,3/1/2018,3/1/2023
Nathan Davis,registered nurse,0,LA,MORTGAGE,"62,000","5,167",4.51,386100,20570.00,other,40000,60,7.34,798,54680,80,4800,3/1/2018,3/1/2023
Kelly Carroll,analyst,2,CA,RENT,"46,000","3,833",4.51,42232,41199.00,moving,1800,36,7.96,56,2230,6,216,3/1/2018,3/1/2021
Brittany Smith,sales professional,10,NY,OWN,"50,000","4,167",4.5,40676,25609.00,debt_consolidation,16000,60,26.3,482,37040,48,2880,1/1/2018,1/1/2023
