Names,profession,loan_purpose,total_credit_utilized,loan_amount,interest_rate,term,ten_of monthly,total_satoshis,total_sp_value,payoff_date,sp_price_on_date,btc_price_on_date,btc_sold_on_term,sp_sold_term,total_payment,spent_strategy
Rachel Tate,teacher,debt_consolidation,31909,22000,6.07,36,67,31696963,0.8241,3/1/2021,3901,44970,14254.12,3214.8141,8652,792
Heather Mcgee,deputy sheriff,debt_consolidation,59362,21000,10.42,60,45,24846390,0.8055,3/1/2023,3951,23155,5753.18,3182.5305,41988,3480
Seth Miller,lpn,debt_consolidation,46284,30000,26.77,60,91,50244922,1.6289,3/1/2023,3951,23155,11634.21,6435.7839,24404,2232
Robin Scott,,debt_consolidation,17209,10000,14.07,36,34,16085026,0.4182,3/1/2021,3901,44970,7233.44,1631.3982,6051,504
Duane Carr,,credit_card,43397,10000,10.41,60,21,11594982,0.3759,3/1/2023,3951,23155,2684.82,1485.1809,6415,576
Mary Coffey,cook,house,33243,10000,13.58,36,34,16085026,0.4182,3/1/2021,3901,44970,7233.44,1631.3982,7709,648
Nichole Choi,deputy,debt_consolidation,36173,14400,9.92,36,46,21762094,0.5658,3/1/2021,3901,44970,9786.41,2207.1858,59840,5100
Ronnie Sims,sr compensation analyst,credit_card,172425,17575,5.31,36,53,25073717,0.6519,3/1/2021,3901,44970,11275.65,2543.0619,6196,576
Heather Thompson,,debt_consolidation,43658,5000,17.47,36,18,8515602,0.2214,3/1/2021,3901,44970,3829.47,863.6814,28154,2448
Matthew Quinn PhD,loan officer,debt_consolidation,107678,35000,14.07,36,120,56770680,1.476,3/1/2021,3901,44970,25529.77,5757.876,38065,3384
David Yates,owner ,debt_consolidation,111920,35000,19.42,36,129,61028481,1.5867,3/1/2021,3901,44970,27444.51,6189.7167,20873,1944
Linda Bell,carpenter,debt_consolidation,284016,18000,10.9,36,59,27912251,0.7257,3/1/2021,3901,44970,12552.14,2830.9557,12388,1116
Clayton Garcia,billing clerk,debt_consolidation,48950,25000,14.07,60,58,32024236,1.0382,3/1/2023,3951,23155,7415.21,4101.9282,5922,504
Angela Hawkins,,debt_consolidation,25100,7200,12.61,36,24,11354136,0.2952,3/1/2021,3901,44970,5105.95,1151.5752,15020,1368
Thomas Barajas,retired,credit_card,83658,13000,5.31,60,25,13803550,0.4475,3/1/2023,3951,23155,3196.21,1768.0725,17060,1512
Emily Smith,towtruck driver,credit_card,21958,10000,14.07,60,23,12699266,0.5828,3/1/2023,3951,23155,2940.52,2302.6428,7810,720
Mark King,teacher aid ,debt_consolidation,29920,5000,18.45,36,18,8515602,0.2214,3/1/2021,3901,44970,3829.47,863.6814,6194,576
Katherine Carrillo,designer,debt_consolidation,70848,21000,9.92,36,68,32170052,0.8364,3/1/2021,3901,44970,14466.87,3262.7964,8697,828
Suzanne Watson,education and design analyst,debt_consolidation,34725,5600,10.9,36,18,8515602,0.2214,3/1/2021,3901,44970,3829.47,863.6814,4206,396
Brian Knight,machinist,debt_consolidation,70141,20000,15.04,60,48,26502816,0.8592,3/1/2023,3951,23155,6136.73,3394.6992,14720,1260
Daniel Bell,director of marketing and communications,debt_consolidation,179947,12000,15.04,60,29,16012118,0.5191,3/1/2023,3951,23155,3707.61,2050.9641,33993,2988
Charles Lewis,officer,debt_consolidation,122074,10000,7.34,60,20,11042840,0.358,3/1/2023,3951,23155,2556.97,1414.458,45552,3720
Lisa Hart,attorney,debt_consolidation,109777,8500,18.45,36,31,14665759,0.3813,3/1/2021,3901,44970,6595.19,1487.4513,22448,1920
Briana Jackson,customer service ,medical,45364,5000,19.42,36,18,8515602,0.2214,3/1/2021,3901,44970,3829.47,863.6814,27780,2160
Mary Johns,executive assistant,debt_consolidation,46707,30000,19.42,60,79,43619218,1.4141,3/1/2023,3951,23155,10100.03,5587.1091,59130,4740
Jessica James,relationship specialist,debt_consolidation,43659,12000,11.98,36,40,18923560,0.492,3/1/2021,3901,44970,8509.92,1919.292,49070,4020
Samantha Wood,personal banker,debt_consolidation,20039,5000,11.98,36,17,8042513,0.2091,3/1/2021,3901,44970,3616.72,815.6991,12388,1116
Michael Taylor,driver,other,71142,32000,18.45,60,82,45275644,0.558,3/1/2023,3951,23155,10483.58,2204.658,10250,936
Erica Peck,csa,debt_consolidation,23257,16000,13.59,60,37,20429254,0.6623,3/1/2023,3951,23155,4730.39,2616.7473,6893,612
Antonio Nelson,it manager,home_improvement,130457,30000,24.84,60,88,48588496,1.5752,3/1/2023,3951,23155,11250.67,6223.6152,12016,1116
John Hoffman,business analysis,debt_consolidation,201020,14000,9.92,60,30,16564260,0.537,3/1/2023,3951,23155,3835.45,2121.687,3894,360
Damon White,doctor of chiropractic,credit_card,129316,18000,16.01,36,63,29804607,0.7749,3/1/2021,3901,44970,13403.13,3022.8849,9152,828
Steven Lutz,,medical,10408,1000,9.92,36,3,1419267,0.0369,3/1/2021,3901,44970,638.24,143.9469,57090,4560
Michael Jennings,collection development librarian,debt_consolidation,42248,15000,13.59,60,35,19324970,0.3936,3/1/2023,3951,23155,4474.7,1555.1136,13126,1152
Michael Powell,program manager,debt_consolidation,163209,19000,15.04,36,66,31223874,0.8118,3/1/2021,3901,44970,14041.38,3166.8318,12388,1116
Laura Dorsey,owner,debt_consolidation,53076,12000,18.45,36,44,20815916,0.5412,3/1/2021,3901,44970,9360.92,2111.2212,36333,3240
Anthony Melendez Jr.,chief engineer,debt_consolidation,176029,25000,7.34,36,78,36900942,0.9594,3/1/2021,3901,44970,16594.35,3742.6194,11845,1008
Travis Allen,teacher,credit_card,90756,38000,19.42,36,140,66232460,1.722,3/1/2021,3901,44970,29784.74,6717.522,25553,2100
Emily Campbell,package driver ,home_improvement,80661,18000,10.41,36,58,27439162,0.7134,3/1/2021,3901,44970,12339.39,2782.9734,7787,684
Rebecca Hobbs,owner opperator,credit_card,45969,19000,14.07,36,65,30750785,0.7995,3/1/2021,3901,44970,13828.63,3118.8495,4079,360
Gina Love,,debt_consolidation,73310,15000,14.07,60,35,19324970,0.6265,3/1/2023,3951,23155,4474.7,2475.3015,14806,1260
Monica Schaefer,tool builder,major_purchase,66166,14000,15.04,60,33,18220686,0.5907,3/1/2023,3951,23155,4219,2333.8557,35916,3060
Robert Miller,hub employee,debt_consolidation,28534,7000,10.9,36,23,10881047,0.455,3/1/2021,3901,44970,4893.21,1774.955,7210,648
Jordan Copeland MD,mammography supervisor ,debt_consolidation,57126,10000,12.61,60,23,12699266,0.4117,3/1/2023,3951,23155,2940.52,1626.6267,51120,4200
Joseph Rhodes,driver,home_improvement,60716,6500,14.07,36,22,10407958,0.2706,3/1/2021,3901,44970,4680.46,1055.6106,51946,4560
Dylan Davis,engineer,debt_consolidation,77601,15000,10.41,36,49,23181361,0.6572,3/1/2021,3901,44970,10424.66,2563.7372,25952,2304
William Smith,machine operator,debt_consolidation,18484,22000,19.42,60,58,32024236,1.008,3/1/2023,3951,23155,7415.21,3982.608,36615,3348
Danielle Ray,registered nurse,debt_consolidation,44180,30000,15.04,36,104,49201256,1.2792,3/1/2021,3901,44970,22125.8,4990.1592,6196,576
Emily Willis,controller,debt_consolidation,36909,16000,7.96,36,50,23654450,0.615,3/1/2021,3901,44970,10637.41,2399.115,9913,900
Brandon Richardson,,medical,97118,15000,6.07,36,46,21762094,0.5658,3/1/2021,3901,44970,9786.41,2207.1858,6008,540
Steve Simmons,,home_improvement,28656,12000,7.96,36,38,17977382,0.4674,3/1/2021,3901,44970,8084.43,1823.3274,25958,2304
Steven Miller,banquet bartender,credit_card,27710,25000,11.98,36,83,39266387,1.0209,3/1/2021,3901,44970,17658.09,3982.5309,10381,936
Nicholas Taylor,owner,debt_consolidation,68480,21000,7.96,36,66,31223874,0.8118,3/1/2021,3901,44970,14041.38,3166.8318,46372,4320
Kathryn Flores,customer service,debt_consolidation,21524,9000,7.96,36,28,13246492,0.3444,3/1/2021,3901,44970,5956.95,1343.5044,18308,1692
Andrew Wilcox,sr oracle database administrator,debt_consolidation,41627,26000,18.45,36,95,44943455,1.1685,3/1/2021,3901,44970,20211.07,4558.3185,23127,1944
Justin Howell,sales,debt_consolidation,78134,25000,6.71,36,77,36427853,0.9471,3/1/2021,3901,44970,16381.61,3694.6371,42048,3420
Jennifer Crosby,registered dietitian,major_purchase,88235,40000,7.96,36,125,59136125,1.5375,3/1/2021,3901,44970,26593.52,5997.7875,51328,4608
Erika Wood,writer,debt_consolidation,14161,13500,5.31,36,41,19396649,0.5043,3/1/2021,3901,44970,8722.67,1967.2743,34080,2820
Joseph Kim,registered nurse,home_improvement,28305,16000,10.9,60,35,19324970,0.6265,3/1/2023,3951,23155,4474.7,2475.3015,14515,1260
Marissa Noble,shift manager ,debt_consolidation,47267,32000,19.42,60,84,46379928,1.5036,3/1/2023,3951,23155,10739.27,5940.7236,15395,1368
John Smith,manager ,credit_card,167617,11000,16.01,36,39,18450471,0.675,3/1/2021,3901,44970,8297.18,2633.175,17060,1512
Denise Benton,supervisor ,debt_consolidation,37401,22000,6.71,36,68,32170052,0.8364,3/1/2021,3901,44970,14466.87,3262.7964,40791,3600
Corey Arnold,maintenance superintendent,credit_card,18952,10000,5.32,36,30,14192670,0.369,3/1/2021,3901,44970,6382.44,1439.469,40775,3360
Michael Reed,ramp agent,credit_card,12795,6100,12.61,36,20,9461780,0.246,3/1/2021,3901,44970,4254.96,959.646,41988,3480
Jamie Porter,medical dosimetrist,debt_consolidation,64572,36000,7.96,60,73,40306366,1.3067,3/1/2023,3951,23155,9332.94,5162.7717,26664,2484
Whitney Smith,software engineer,home_improvement,45890,10000,10.41,36,32,15138848,0.3936,3/1/2021,3901,44970,6807.94,1535.4336,29560,2736
Joseph Ferguson,sr mechanical engineer,debt_consolidation,21992,20000,7.96,36,63,29804607,0.7749,3/1/2021,3901,44970,13403.13,3022.8849,17035,1380
Debbie Harris,clinical report writer,debt_consolidation,195420,35000,19.42,60,92,50797064,1.6468,3/1/2023,3951,23155,11762.06,6506.5068,24410,2232
Richard White,business specialist,debt_consolidation,25620,32200,19.42,60,84,46379928,0.15,3/1/2023,3951,23155,10739.27,592.65,6101,576
Nicole Copeland,premise technician,credit_card,13298,15000,7.34,36,47,22235183,0.5781,3/1/2021,3901,44970,9999.16,2255.1681,7709,648
Peter Fox,lead application soa architect,credit_card,77261,40000,11.98,60,89,49140638,1.5931,3/1/2023,3951,23155,11378.51,6294.3381,31224,2520
Christopher Walker,owner,credit_card,66245,16000,7.34,36,50,23654450,0.615,3/1/2021,3901,44970,10637.41,2399.115,36788,3120
Timothy Ruiz,reporter,debt_consolidation,8403,4000,12.61,36,13,6150157,0.1599,3/1/2021,3901,44970,2765.73,623.7699,4205,396
Nathan Mitchell,mail carrier,debt_consolidation,41598,10000,20.39,36,37,17504293,0.4551,3/1/2021,3901,44970,7871.68,1775.3451,25958,2304
Jennifer Taylor,,debt_consolidation,56736,30000,18.45,36,109,51566701,0.9348,3/1/2021,3901,44970,23189.55,3646.6548,22080,1860
Julia Carr,manager - projects,major_purchase,83037,35000,21.85,60,96,53005632,1.7184,3/1/2023,3951,23155,12273.45,6789.3984,12104,1044
Mary Fisher,heavy equipment operator,debt_consolidation,53332,2500,6.07,36,8,3784712,0.0984,3/1/2021,3901,44970,1701.98,383.8584,52504,4680
Morgan Davis,editor,debt_consolidation,29513,3000,16.01,36,11,5203979,0.1353,3/1/2021,3901,44970,2340.23,527.8053,61800,5220
Robert Barnett,table games dealer,small_business,25114,12000,9.92,60,25,13803550,0.4475,3/1/2023,3951,23155,3196.21,1768.0725,23127,1944
Nicholas Murphy,industrial mechanic,debt_consolidation,24075,10000,11.98,36,33,15611937,0.4059,3/1/2021,3901,44970,7020.69,1583.4159,30672,2520
Felicia Price,plant manager ,debt_consolidation,73255,32000,12.61,60,72,39754224,1.2888,3/1/2023,3951,23155,9205.09,5092.0488,31990,2640
Michael Owens,senior medical billing specialist,medical,22256,13000,10.9,60,28,15459976,0.2125,3/1/2023,3951,23155,3579.76,839.5875,27194,2376
Melissa Miller,recruiter,debt_consolidation,5262,6000,16.01,36,21,9934869,0.2583,3/1/2021,3901,44970,4467.71,1007.6283,14512,1260
Kristy Lee,lead technologist,house,30167,15000,12.61,60,34,18772828,0.6086,3/1/2023,3951,23155,4346.85,2404.5786,6196,576
Jeffrey Jennings,senior collector ,debt_consolidation,40361,6000,10.41,36,19,8988691,0.2337,3/1/2021,3901,44970,4042.21,911.6637,62175,4920
Jennifer Collins,machine operator ,credit_card,28252,16800,13.58,60,39,21533538,0.6981,3/1/2023,3951,23155,4986.09,2758.1931,26088,2160
Christina Miller,city superintendent,debt_consolidation,44756,20000,6.07,36,61,28858429,0.7503,3/1/2021,3901,44970,12977.64,2926.9203,8697,828
Susan Snyder,legal assistant,debt_consolidation,71219,15000,12.61,60,34,18772828,0.6086,3/1/2023,3951,23155,4346.85,2404.5786,8039,684
Christopher Gomez,nurse,debt_consolidation,54883,40000,9.43,60,84,46379928,1.5036,3/1/2023,3951,23155,10739.27,5940.7236,28103,2280
Travis Alvarado,project control,home_improvement,70005,30000,9.43,36,96,45416544,1.1808,3/1/2021,3901,44970,20423.82,4606.3008,6008,540
Kaitlin Watkins,owner ,debt_consolidation,299854,16000,13.58,60,37,20429254,0.6623,3/1/2023,3951,23155,4730.39,2616.7473,33590,2760
Francisco Mills,nurse,debt_consolidation,73308,38000,6.71,36,117,55351413,1.4391,3/1/2021,3901,44970,24891.53,5613.9291,17595,1440
Kathryn Edwards,snr project engineer,credit_card,111771,9000,10.41,36,29,13719581,0.3567,3/1/2021,3901,44970,6169.7,1391.4867,9610,900
Heather Farrell,phlebotomist,debt_consolidation,17169,17000,18.45,36,62,29331518,0.7626,3/1/2021,3901,44970,13190.38,2974.9026,24386,2052
Gregory Williams,processor,house,40254,10000,14.07,60,23,12699266,0.4117,3/1/2023,3951,23155,2940.52,1626.6267,59860,5100
James Williams,charge nurse,home_improvement,43263,3600,6.07,36,11,5203979,0.2125,3/1/2021,3901,44970,2340.23,828.9625,67180,5520
Lance Roth,dispatcher,house,17592,8000,17.47,36,29,13719581,0.3567,3/1/2021,3901,44970,6169.7,1391.4867,38638,3240
Tanner Higgins,banker,debt_consolidation,22488,20000,10.9,36,65,30750785,0.7995,3/1/2021,3901,44970,13828.63,3118.8495,54680,4800
Ronald Jones,it technician,debt_consolidation,28090,14000,28.72,60,44,24294248,0.5,3/1/2023,3951,23155,5625.33,1975.5,5743,504
John Smith,,other,6332,5000,6.07,36,15,7096335,0.675,3/1/2021,3901,44970,3191.22,2633.175,14224,1224
Denise Walker,behavioral health unit supervisor,credit_card,85116,35000,14.07,60,82,45275644,1.4678,3/1/2023,3951,23155,10483.58,5799.2778,2838,252
Misty Stanley,engineering technician ,house,39858,9600,9.43,36,31,14665759,0.3813,3/1/2021,3901,44970,6595.19,1487.4513,9648,828
Angel Sandoval,logistic management specialist,other,116649,6000,7.96,36,19,8988691,0.2337,3/1/2021,3901,44970,4042.21,911.6637,6488,576
Michael Jimenez,group it manager,debt_consolidation,55976,27000,5.31,60,51,28159242,0.9129,3/1/2023,3951,23155,6520.27,3606.8679,4257,396
Dustin Kim,teacher,debt_consolidation,24293,20000,5.31,36,60,28385340,0.738,3/1/2021,3901,44970,12764.89,2878.938,34448,3000
Brandy Lee,managed repair representative,debt_consolidation,37628,15000,16.01,60,36,19877112,0.6444,3/1/2023,3951,23155,4602.55,2546.0244,42056,3888
Samantha Wright,manager/server,debt_consolidation,15386,8300,9.43,36,27,12773403,0.3321,3/1/2021,3901,44970,5744.2,1295.5221,4078,360
Courtney Allen,truck driver,debt_consolidation,17428,20000,6.07,36,61,28858429,0.7503,3/1/2021,3901,44970,12977.64,2926.9203,27492,2160
Brian Sheppard,manager ,debt_consolidation,16841,10000,7.34,36,31,14665759,0.3813,3/1/2021,3901,44970,6595.19,1487.4513,19722,1620
Rebecca Johnson,radiation therapist,debt_consolidation,72753,10000,12.61,60,23,12699266,0.4117,3/1/2023,3951,23155,2940.52,1626.6267,6008,540
Lori Brown,accounting manager,debt_consolidation,18001,26275,9.92,36,85,40212565,1.0455,3/1/2021,3901,44970,18083.59,4078.4955,11824,1080
Carrie Short,maintenance ,credit_card,16738,20000,6.07,36,61,28858429,0.7503,3/1/2021,3901,44970,12977.64,2926.9203,16795,1380
Jessica Brewer,transportation director,debt_consolidation,20958,30000,11.98,60,67,36993514,1.1993,3/1/2023,3951,23155,8565.85,4738.4343,35050,2880
Stephanie Evans,district manager ,moving,51578,15000,9.43,60,31,17116402,0.5549,3/1/2023,3951,23155,3963.3,2192.4099,18376,1620
Mr. John Mcdowell,,credit_card,24059,10000,13.58,36,34,16085026,0.4182,3/1/2021,3901,44970,7233.44,1631.3982,6799,612
Robert Conley,sales rep,debt_consolidation,14522,15000,21.85,60,41,22637822,0.7339,3/1/2023,3951,23155,5241.79,2899.6389,20925,1680
Pamela Duncan,technical support engineer,debt_consolidation,176106,14400,14.07,36,49,23181361,0.6027,3/1/2021,3901,44970,10424.66,2351.1327,6103,576
Lisa Cox,attorney,debt_consolidation,172621,8000,5.31,36,24,11354136,0.2952,3/1/2021,3901,44970,5105.95,1151.5752,28554,2556
Ronald Hall,,debt_consolidation,8968,11000,10.41,36,36,17031204,0.4428,3/1/2021,3901,44970,7658.93,1727.3628,47296,4392
Megan Gutierrez,cosmetologist colorist,debt_consolidation,28040,3000,11.98,36,10,4730890,0.123,3/1/2021,3901,44970,2127.48,479.823,19689,1764
Vanessa Thomas,project manager/project engineer,debt_consolidation,41640,30000,9.43,60,63,34784946,0.414,3/1/2023,3951,23155,8054.45,1635.714,41349,3636
Leon Yates,loan processor,debt_consolidation,26574,28000,25.81,60,84,46379928,1.5036,3/1/2023,3951,23155,10739.27,5940.7236,19910,1764
Damon Hall,r&d technician ,small_business,22384,5000,22.9,36,19,8988691,0.2337,3/1/2021,3901,44970,4042.21,911.6637,11821,1080
Chad Stewart,,debt_consolidation,19342,12000,17.47,60,30,16564260,0.537,3/1/2023,3951,23155,3835.45,2121.687,16724,1476
Jeremy Medina,project manager,debt_consolidation,53972,35000,13.58,60,81,44723502,1.4499,3/1/2023,3951,23155,10355.73,5728.5549,44409,3780
Craig Swanson,cnc programer,major_purchase,26825,10000,12.61,60,23,12699266,0.4117,3/1/2023,3951,23155,2940.52,1626.6267,17961,1620
Tammy Schaefer,maintenance tech,other,20406,2000,9.92,36,6,2838534,0.0738,3/1/2021,3901,44970,1276.49,287.8938,59840,5100
Christopher Carney,ct technologist,debt_consolidation,46386,11200,9.92,60,24,13251408,0.4296,3/1/2023,3951,23155,3068.36,1697.3496,15575,1404
Amber Jones,registered nurse / director of nursing,debt_consolidation,31950,16000,7.35,60,32,17668544,0.5728,3/1/2023,3951,23155,4091.15,2263.1328,2928,252
Jerry Green,store manager,credit_card,51254,35000,10.41,36,114,53932146,1.4022,3/1/2021,3901,44970,24253.29,5469.9822,8270,720
Mrs. Wanda Morris,police officer,debt_consolidation,79725,40000,16.01,60,97,53557774,1.7363,3/1/2023,3951,23155,12401.3,6860.1213,39423,3456
Shelby Sanchez,director,other,156086,12075,16.01,60,29,16012118,0.5191,3/1/2023,3951,23155,3707.61,2050.9641,61520,4920
Amy Guerrero MD,marketing strategist,debt_consolidation,66681,20000,11.98,36,66,31223874,0.8118,3/1/2021,3901,44970,14041.38,3166.8318,19469,1728
Derrick Davis,floor manager,credit_card,109092,10000,20.39,60,27,14907834,0.4833,3/1/2023,3951,23155,3451.91,1909.5183,14720,1260
Cynthia Brown,clerical,credit_card,17742,5000,5.31,36,15,7096335,0.1845,3/1/2021,3901,44970,3191.22,719.7345,33985,2988
Mary Savage,senior purchasing agent,debt_consolidation,39071,20000,7.34,36,62,29331518,0.7626,3/1/2021,3901,44970,13190.38,2974.9026,4926,432
Kevin Ali,consultant,debt_consolidation,138250,30000,21.85,60,83,45827786,1.4857,3/1/2023,3951,23155,10611.42,5870.0007,58880,5040
Monica Turner,sales associate ,credit_card,18919,15000,6.71,36,46,21762094,0.5658,3/1/2021,3901,44970,9786.41,2207.1858,11824,1080
Allen Cooper,field service engineer,debt_consolidation,33325,21000,15.04,36,73,34535497,0.8979,3/1/2021,3901,44970,15530.61,3502.7079,51328,4608
Darryl Lopez,senior detention officer,major_purchase,60021,40000,7.96,36,125,59136125,1.5375,3/1/2021,3901,44970,26593.52,5997.7875,8836,792
Hannah Gomez,client services ,debt_consolidation,13283,10400,15.04,60,25,13803550,0.4475,3/1/2023,3951,23155,3196.21,1768.0725,54700,4800
Julie Moran,strategic planner,debt_consolidation,211005,30000,12.61,36,101,47781989,1.2423,3/1/2021,3901,44970,21487.56,4846.2123,25505,2376
Connie Love,security officer,credit_card,9076,15000,14.07,60,35,19324970,0.6265,3/1/2023,3951,23155,4474.7,2475.3015,32445,2760
Scott Williams,sales,debt_consolidation,79336,26100,10.9,60,57,31472094,1.062,3/1/2023,3951,23155,7287.36,4195.962,24000,2016
Wanda Adams,water system foreman,debt_consolidation,27036,33400,13.58,60,77,42514934,1.3783,3/1/2023,3951,23155,9844.33,5445.6633,24410,2232
Jennifer Daniels,associate editor,debt_consolidation,72596,7225,10.9,36,24,11354136,0.2952,3/1/2021,3901,44970,5105.95,1151.5752,70080,5700
Nicole Lawson,director of pupil services,major_purchase,49760,15000,6.07,36,46,21762094,0.5658,3/1/2021,3901,44970,9786.41,2207.1858,26096,2160
Dr. Kimberly Green DVM,office manager,debt_consolidation,12071,18000,9.43,36,58,27439162,0.7134,3/1/2021,3901,44970,12339.39,2782.9734,58880,5040
Megan Brown,facility maintanace,credit_card,12744,16000,12.61,36,54,25546806,0.91,3/1/2021,3901,44970,11488.4,3549.91,28990,2700
Jessica Doyle,truck driver,major_purchase,19900,4200,9.43,36,13,6150157,0.1599,3/1/2021,3901,44970,2765.73,623.7699,7039,612
Yolanda Garcia,teacher,debt_consolidation,49013,15000,14.07,60,35,19324970,0.6265,3/1/2023,3951,23155,4474.7,2475.3015,27830,2592
Christine Barnes,president ,other,77873,35000,7.34,36,109,51566701,1.3407,3/1/2021,3901,44970,23189.55,5230.0707,5126,468
Kristin Rush,,major_purchase,8180,1000,20.39,36,4,1892356,0.0492,3/1/2021,3901,44970,850.99,191.9292,6563,576
Gloria Chen,carpenter,debt_consolidation,26600,16000,17.09,36,57,26966073,0.7011,3/1/2021,3901,44970,12126.64,2734.9911,3982,360
Kevin Weaver,sales rep,debt_consolidation,22407,25000,7.34,36,78,36900942,0.9594,3/1/2021,3901,44970,16594.35,3742.6194,46384,4320
Steve Sosa,project manager,debt_consolidation,62621,16000,11.98,60,36,19877112,0.6444,3/1/2023,3951,23155,4602.55,2546.0244,9459,864
Amanda Walters,rca,home_improvement,18294,5000,12.61,36,17,8042513,0.2091,3/1/2021,3901,44970,3616.72,815.6991,29553,2736
Karen Miller,branch manager,debt_consolidation,24387,32000,18.45,60,82,45275644,0.4712,3/1/2023,3951,23155,10483.58,1861.7112,17027,1584
Allen Mendez,pilot,home_improvement,116281,30000,28.72,60,95,52453490,1.7005,3/1/2023,3951,23155,12145.61,6718.6755,23192,2160
George Medina,chemical blender,other,15323,4475,19.42,36,16,7569424,0.1968,3/1/2021,3901,44970,3403.97,767.7168,7699,684
Robert Beltran,program director,home_improvement,21433,15000,9.92,60,32,17668544,0.5728,3/1/2023,3951,23155,4091.15,2263.1328,32633,2880
Monica Sellers,senior partner,debt_consolidation,104473,35000,14.07,36,120,56770680,1.476,3/1/2021,3901,44970,25529.77,5757.876,8156,720
Mario Henderson,ramp agent,debt_consolidation,55684,25000,9.43,36,80,37847120,0.984,3/1/2021,3901,44970,17019.85,3838.584,7403,648
Edward Goodwin,member services senior associate ,debt_consolidation,23803,1500,18.45,36,5,2365445,0.0615,3/1/2021,3901,44970,1063.74,239.9115,21336,1836
Eddie Baker,,debt_consolidation,8009,24000,16.02,36,84,39739476,1.0332,3/1/2021,3901,44970,17870.84,4030.5132,34779,3240
Shawn Khan,equal employment officer,debt_consolidation,124845,26000,11.98,60,58,32024236,1.0382,3/1/2023,3951,23155,7415.21,4101.9282,42048,3420
Crystal Lawrence,clinical coordinator,debt_consolidation,67101,30000,10.9,60,65,35889230,1.1635,3/1/2023,3951,23155,8310.15,4596.9885,52560,4260
Faith Ward,cpc medical coder,debt_consolidation,24474,21000,15.04,60,50,27607100,0.895,3/1/2023,3951,23155,6392.42,3536.145,20951,1800
Rachel Lopez,it help desk,debt_consolidation,12004,16000,17.47,36,57,26966073,0.7011,3/1/2021,3901,44970,12126.64,2734.9911,26252,2340
Lindsay Burton,foreman,medical,50624,6000,17.47,36,22,10407958,0.2706,3/1/2021,3901,44970,4680.46,1055.6106,17005,1380
Samuel Rice,operator ,house,25778,15000,10.9,60,33,18220686,0.5907,3/1/2023,3951,23155,4219,2333.8557,25024,2160
Scott Alexander,integrations isd team lead,debt_consolidation,131464,30000,19.42,36,111,52512879,1.3653,3/1/2021,3901,44970,23615.04,5326.0353,13123,1152
Nicole Hernandez,supervisor ,debt_consolidation,15083,20000,10.41,36,65,30750785,0.7995,3/1/2021,3901,44970,13828.63,3118.8495,5913,504
Bruce Vaughan,conductor,small_business,38685,4200,10.9,36,14,6623246,0.1722,3/1/2021,3901,44970,2978.47,671.7522,68985,5520
Donald Thomas,loan officer,credit_card,9972,13600,6.07,36,41,19396649,0.5043,3/1/2021,3901,44970,8722.67,1967.2743,12391,1116
Richard Davis,soldier,other,40556,28000,6,36,83,39266387,1.0209,3/1/2021,3901,44970,17658.09,3982.5309,14646,1332
Kenneth Robinson,service manager,other,42703,21000,9.92,60,45,24846390,0.8055,3/1/2023,3951,23155,5753.18,3182.5305,4078,360
Emily Baldwin,business systems analyst,debt_consolidation,15152,12000,12.61,36,40,18923560,0.492,3/1/2021,3901,44970,8509.92,1919.292,24115,2232
Kristopher Spence,dining room facility attendant,debt_consolidation,23119,20000,10.9,36,65,30750785,0.7995,3/1/2021,3901,44970,13828.63,3118.8495,11946,1044
Emily Roberts,settlement officer ,debt_consolidation,26729,18000,10.9,36,59,27912251,0.7257,3/1/2021,3901,44970,12552.14,2830.9557,11282,1008
Hannah Foster,tenant services director,debt_consolidation,22665,12000,6.07,36,37,17504293,0.4551,3/1/2021,3901,44970,7871.68,1775.3451,3938,360
Michelle Taylor,operations supervisor,credit_card,115437,8000,15.04,36,28,13246492,0.3444,3/1/2021,3901,44970,5956.95,1343.5044,23642,2196
Melissa James,cdl driver,other,22970,15600,10.41,36,51,24127539,1.456,3/1/2021,3901,44970,10850.15,5679.856,17035,1380
Dana Jackson,bartender,debt_consolidation,20712,9600,6.71,36,30,14192670,0.369,3/1/2021,3901,44970,6382.44,1439.469,47985,4020
Jasmine Gilbert,operations manager,debt_consolidation,32813,30000,9.43,60,63,34784946,1.1277,3/1/2023,3951,23155,8054.45,4455.5427,3850,360
Samantha Waters,nurse manager,credit_card,74450,40000,10.9,36,131,61974659,1.6113,3/1/2021,3901,44970,27870,6285.6813,35159,2760
Jacqueline Maxwell,church administrator,debt_consolidation,10692,3025,19.42,36,11,5203979,0.1353,3/1/2021,3901,44970,2340.23,527.8053,9188,828
Kenneth Peterson,,other,29320,20000,9.92,36,64,30277696,0.7872,3/1/2021,3901,44970,13615.88,3070.8672,8980,792
Samuel Ingram,bus driver,debt_consolidation,9415,10000,19.42,60,26,14355692,0.4654,3/1/2023,3951,23155,3324.06,1838.7954,12304,1080
Scott Taylor,community director,debt_consolidation,34273,15000,20.39,36,56,26492984,0.6888,3/1/2021,3901,44970,11913.89,2687.0088,15395,1368
Michael Blevins,table games dealer,other,33396,27000,7.96,36,85,40212565,1.0455,3/1/2021,3901,44970,18083.59,4078.4955,17732,1656
Kathryn Mora,captain,debt_consolidation,74808,40000,10.9,60,87,48036354,1.5573,3/1/2023,3951,23155,11122.82,6152.8923,27830,2592
